sr_no,file_no,reason
103,DGGI/INV/GST/859/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
104,DGGI/INV/GST/876/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
105,DGGI/INV/GST/863/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
106,DGGI/INV/GST/877/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
107,DGGI/INV/GST/878/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
108,DGGI/INV/GST/862/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
109,DGGI/INV/GST/879/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
110,DGGI/INV/GST/882/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
111,DGGI/INV/GST/881/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
112,DGGI/INV/GST/534/2026-DD/AD-I-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
113,DGGI/INT/COMP/GEN/59/2026-INT-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
114,DGGI/INT/INTL/539/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
115,DGGI/INT/INTL/559/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
116,DGGI/INV/52/2026-Gr F(A)-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
117,DGGI/92/2026-Gr F(A)-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
118,DGGI/INT/INTL/552/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
